 0.00 мкс | ████ (5В)
 0.20 мкс | ████ (5В)
 0.20 мкс |      (0В)
 0.50 мкс |      (0В)
 0.50 мкс | ████ (5В)
 0.70 мкс | ████ (5В)
 0.70 мкс |      (0В)
 1.00 мкс |      (0В)
 1.00 мкс | ████ (5В)
 1.20 мкс | ████ (5В)
 1.20 мкс |      (0В)
 1.50 мкс |      (0В)
 1.50 мкс | ████ (5В)
 1.70 мкс | ████ (5В)
 1.70 мкс |      (0В)
 2.00 мкс |      (0В)
 2.00 мкс | ████ (5В)
 2.20 мкс | ████ (5В)
 2.20 мкс |      (0В)
 2.50 мкс |      (0В)
 2.50 мкс | ████ (5В)
 2.70 мкс | ████ (5В)
 2.70 мкс |      (0В)
 3.00 мкс |      (0В)
 3.00 мкс | ████ (5В)
 3.20 мкс | ████ (5В)
 3.20 мкс |      (0В)
 3.50 мкс |      (0В)
 3.50 мкс | ████ (5В)
 3.70 мкс | ████ (5В)
 3.70 мкс |      (0В)
 4.00 мкс |      (0В)
