time_us,sda,scl,note
5.00,1,1,
10.00,0,1,
10.00,0,0,
12.50,1,0,
12.50,1,1,
17.50,1,0,
22.50,0,0,
22.50,0,1,
27.50,0,0,
32.50,1,0,
32.50,1,1,
37.50,1,0,
42.50,0,0,
42.50,0,1,
47.50,0,0,
52.50,0,0,
52.50,0,1,
57.50,0,0,
62.50,0,0,
62.50,0,1,
67.50,0,0,
72.50,0,0,
72.50,0,1,
77.50,0,0,
82.50,0,0,
82.50,0,1,
87.50,0,0,
92.50,1,0,
92.50,0,1,
97.50,0,0,
100.00,1,0,
102.50,0,0,
102.50,0,1,
107.50,0,0,
112.50,0,0,
112.50,0,1,
117.50,0,0,
122.50,0,0,
122.50,0,1,
127.50,0,0,
132.50,0,0,
132.50,0,1,
137.50,0,0,
142.50,0,0,
142.50,0,1,
147.50,0,0,
152.50,0,0,
152.50,0,1,
157.50,0,0,
162.50,0,0,
162.50,0,1,
167.50,0,0,
172.50,0,0,
172.50,0,1,
177.50,0,0,
182.50,1,0,
182.50,0,1,
187.50,0,0,
190.00,1,0,
192.50,0,0,
192.50,0,1,
197.50,0,0,
202.50,0,0,
202.50,0,1,
207.50,0,0,
212.50,1,0,
212.50,1,1,
217.50,1,0,
222.50,1,0,
222.50,1,1,
227.50,1,0,
232.50,1,0,
232.50,1,1,
237.50,1,0,
242.50,1,0,
242.50,1,1,
247.50,1,0,
252.50,1,0,
252.50,1,1,
257.50,1,0,
262.50,1,0,
262.50,1,1,
267.50,1,0,
272.50,1,0,
272.50,0,1,
277.50,0,0,
280.00,1,0,
282.50,0,0,
282.50,0,1,
287.50,0,0,
292.50,1,0,
292.50,1,1,
297.50,1,0,
302.50,1,0,
302.50,1,1,
307.50,1,0,
312.50,0,0,
312.50,0,1,
317.50,0,0,
322.50,0,0,
322.50,0,1,
327.50,0,0,
332.50,1,0,
332.50,1,1,
337.50,1,0,
342.50,1,0,
342.50,1,1,
347.50,1,0,
352.50,1,0,
352.50,1,1,
357.50,1,0,
362.50,1,0,
362.50,0,1,
367.50,0,0,
370.00,1,0,
375.00,0,0,
375.00,0,1,
385.00,1,1,
390.00,1,1,
395.00,0,1,
395.00,0,0,
397.50,1,0,
397.50,1,1,
402.50,1,0,
407.50,0,0,
407.50,0,1,
412.50,0,0,
417.50,1,0,
417.50,1,1,
422.50,1,0,
427.50,0,0,
427.50,0,1,
432.50,0,0,
437.50,0,0,
437.50,0,1,
442.50,0,0,
447.50,0,0,
447.50,0,1,
452.50,0,0,
457.50,0,0,
457.50,0,1,
462.50,0,0,
467.50,0,0,
467.50,0,1,
472.50,0,0,
477.50,1,0,
477.50,1,1,
482.50,1,0,
485.00,1,0,
490.00,0,0,
490.00,0,1,
500.00,1,1,
505.00,1,1,
510.00,0,1,
510.00,0,0,
512.50,1,0,
512.50,1,1,
517.50,1,0,
522.50,0,0,
522.50,0,1,
527.50,0,0,
532.50,1,0,
532.50,1,1,
537.50,1,0,
542.50,0,0,
542.50,0,1,
547.50,0,0,
552.50,0,0,
552.50,0,1,
557.50,0,0,
562.50,0,0,
562.50,0,1,
567.50,0,0,
572.50,0,0,
572.50,0,1,
577.50,0,0,
582.50,0,0,
582.50,0,1,
587.50,0,0,
592.50,1,0,
592.50,1,1,
597.50,1,0,
600.00,1,0,
605.00,0,0,
605.00,0,1,
615.00,1,1,
620.00,1,1,
625.00,0,1,
625.00,0,0,
627.50,1,0,
627.50,1,1,
632.50,1,0,
637.50,0,0,
637.50,0,1,
642.50,0,0,
647.50,1,0,
647.50,1,1,
652.50,1,0,
657.50,0,0,
657.50,0,1,
662.50,0,0,
667.50,0,0,
667.50,0,1,
672.50,0,0,
677.50,0,0,
677.50,0,1,
682.50,0,0,
687.50,0,0,
687.50,0,1,
692.50,0,0,
697.50,0,0,
697.50,0,1,
702.50,0,0,
707.50,1,0,
707.50,1,1,
712.50,1,0,
715.00,1,0,
720.00,0,0,
720.00,0,1,
730.00,1,1,
735.00,1,1,
740.00,0,1,
740.00,0,0,
742.50,1,0,
742.50,1,1,
